TOA5,DB_METS,CR1000,73738,CR1000.Std.32.05,CPU:METS_V5.CR1,20519,Daily,,,,,,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,AirTemp_Max,AirTemp_TMx,AirTemp_Min,AirTemp_TMn,AirTemp_Avg,RH_Max,RH_TMx,RH_Min,RH_TMn,RH_Avg,WS_2m_Avg,WindDir_2m_Avg,WindDir_SD_2m,WS_2m_Max,WS_2m_TMx,WindDir_SMM,WS_3m_Avg,WS_3m_Max,WS_3m_TMx,WindRun_2m_Tot,WindRun_3m_Tot,SrW_Avg,SrW_Max,SrW_TMx,SrMJ_Tot,Vap_Press_Avg,Rain_Tot,Program_Signature
TS,RN,Deg C,,Deg C,,Deg C,%,,%,,%,m/s,Deg,Deg,m/s,,Degrees,m/s,m/s,,km/day,km/day,W/m^2,W/m^2,,MJ/m^2,kPa,inches,arb
,,Max,TMx,Min,TMn,Avg,Max,TMx,Min,TMn,Avg,WVc,WVc,WVc,Max,TMx,SMM,Avg,Max,TMx,Tot,Tot,Avg,Max,TMx,Tot,Avg,Tot,Smp
3/26/2022 0:00,0,25.51,3/25/2022 16:30,-3.16,3/25/2022 23:58,9.91,85.9,3/25/2022 23:59,41.85,3/25/2022 14:55,55.01,9.58,79.07,63.58,8.2,3/25/2022 14:38,145.8,2.706,8.2,3/25/2022 14:38,155.5,161.3,393.2,959.2797,3/25/2022 11:47,4685.894,0.636,0.02,40931
3/27/2022 0:00,1,16.96,3/26/2022 15:07,-2.69,3/26/2022 3:46,7.08,94.9,3/26/2022 4:05,9.19,3/26/2022 15:32,48.42,5.9,280.5,56.47,9.7,3/26/2022 13:16,319.7,1.789,9.95,3/26/2022 13:16,152.5,154.5,266.4,1202.539,3/26/2022 11:15,4603.566,0.596,0,40931
3/28/2022 0:00,2,25.14,3/27/2022 16:56,1.8,3/27/2022 6:39,12,85.4,3/27/2022 6:40,31.65,3/27/2022 17:18,56.95,5.22,65.61,54.04,6.45,3/27/2022 10:02,50.78,2.064,6.45,3/27/2022 10:02,167.3,178.4,190.5,949.5675,3/27/2022 10:11,3292.544,0.638,0,40931
3/29/2022 0:00,3,12.03,3/28/2022 14:45,-1.07,3/28/2022 5:48,7.33,93.6,3/28/2022 5:20,6.364,3/28/2022 14:41,47.81,15.5,224,52.91,15.45,3/28/2022 14:46,180.2,1.82,16.45,3/28/2022 14:46,150.8,157.2,231.2,1519.764,3/28/2022 12:19,3994.753,0.524,0,40931
3/30/2022 0:00,4,10.2,3/29/2022 12:41,-3.43,3/29/2022 23:51,2.46,91.1,3/29/2022 19:02,21.51,3/29/2022 2:12,50.68,15.42,305.4,62.36,14.95,3/29/2022 15:38,6.925,4.907,15.2,3/29/2022 15:38,398.3,423.9,186.1,1278,3/29/2022 10:27,3215.126,0.662,0.17,40931
3/31/2022 0:00,5,18.14,3/30/2022 12:50,-7.28,3/30/2022 23:01,7.07,93.9,3/30/2022 23:09,32.45,3/30/2022 13:03,65.11,7.25,333,47.72,12.2,3/30/2022 0:17,343,3.762,12.95,3/30/2022 0:17,308.6,325,206.8,1361.412,3/30/2022 12:54,3574.36,0.493,0,40931
4/1/2022 0:00,6,14.39,3/31/2022 15:28,-0.29,3/31/2022 5:24,7.43,95.7,3/31/2022 5:15,13.68,3/31/2022 15:29,54.18,13.33,192.9,70.99,5.7,3/31/2022 15:31,138.4,1.507,6.2,3/31/2022 16:20,124.9,130.2,302.8,974.1274,3/31/2022 11:57,5232.497,0.451,0,40931
4/2/2022 0:00,7,19.56,4/1/2022 15:05,-3.74,4/1/2022 23:43,8.28,76.65,4/1/2022 23:40,24.91,4/1/2022 15:05,48.62,7.1,5.285,72.66,13.2,4/1/2022 10:53,350,2.893,14.45,4/1/2022 10:53,238.1,250,224.6,1379.42,4/1/2022 11:52,3881.798,0.514,0,40931
4/3/2022 0:00,8,13.92,4/2/2022 15:37,0.89,4/2/2022 5:52,8.69,90.5,4/2/2022 5:26,11.16,4/2/2022 16:52,50.12,12.95,122,79.88,7.7,4/2/2022 14:45,85.3,1.714,7.7,4/2/2022 13:56,142.5,148.1,309.4,984.591,4/2/2022 12:11,5346.323,0.51,0,40931
4/4/2022 0:00,9,20.75,4/3/2022 11:38,-3.84,4/3/2022 4:24,10.18,84,4/3/2022 23:54,20.35,4/3/2022 10:33,51.13,9.05,8.45,66.15,10.45,4/3/2022 17:33,10.23,3.113,10.45,4/3/2022 17:33,260.6,268.9,210.6,1219.057,4/3/2022 11:51,3639.393,0.581,0,40931
4/5/2022 0:00,10,14.97,4/4/2022 15:03,1.9,4/4/2022 3:01,8.29,94.3,4/4/2022 6:31,17.71,4/4/2022 16:32,55.94,20.6,197.6,63.97,9.95,4/4/2022 15:01,263.7,2.994,11.2,4/4/2022 15:01,239.2,258.7,255.6,1304.743,4/4/2022 10:25,4417.288,0.697,0.13,40931
4/6/2022 0:00,11,10.27,4/5/2022 10:48,-1.11,4/5/2022 23:57,4.35,56.79,4/5/2022 5:18,12.2,4/5/2022 10:49,31.75,18.88,21.65,86.7,22.45,4/5/2022 11:00,274.5,4.486,24.7,4/5/2022 11:00,374.3,387.6,303.7,1054.824,4/5/2022 13:15,5247.409,0.497,0,40931
4/7/2022 0:00,0,12.97,4/6/2022 14:55,-1.47,4/6/2022 23:58,5.4,26.22,4/6/2022 23:59,5.667,4/6/2022 11:37,12.78,17.38,328,35.4,15.45,4/6/2022 9:59,351.4,4.998,15.95,4/6/2022 9:59,255.5,270.7,438.2,1014.001,4/6/2022 12:03,23.73559,0.14,0,40931
4/8/2022 0:00,1,19.76,4/7/2022 14:34,-6.91,4/7/2022 5:57,7.52,53.5,4/7/2022 23:43,11.37,4/7/2022 15:50,28,7.1,326.5,45.1,15.7,4/7/2022 11:41,343.2,4.509,16.45,4/7/2022 11:41,372,389.6,313.7,1031.413,4/7/2022 10:36,27.10275,0.248,0,40931
4/9/2022 0:00,2,26.46,4/8/2022 15:47,0.86,4/8/2022 5:46,12.89,80.2,4/8/2022 4:43,11.64,4/8/2022 16:07,37.05,15.42,239.2,59.81,6.95,4/8/2022 12:30,331.2,1.093,7.2,4/8/2022 12:30,95.6,94.4,321.3,1005.752,4/8/2022 11:46,27.75893,0.329,0,40931
4/10/2022 0:00,3,9.73,4/9/2022 12:17,0.28,4/9/2022 5:02,5.64,74.74,4/9/2022 5:52,4.679,4/9/2022 13:09,29.34,17.98,258.1,43.04,9.45,4/9/2022 13:55,236.5,2.644,10.2,4/9/2022 14:13,214.7,228.5,256.8,1180.609,4/9/2022 12:21,22.18933,0.352,0,40931
4/11/2022 0:00,4,18.85,4/10/2022 15:27,-5.93,4/10/2022 23:49,6.99,64.85,4/10/2022 6:29,15.64,4/10/2022 21:31,37.03,8.6,84.6,79.02,14.2,4/10/2022 17:46,35.08,3.257,14.2,4/10/2022 2:05,266.7,281.4,299.6,1036.866,4/10/2022 11:23,25.88389,0.47,0,40931
4/12/2022 0:00,5,14.43,4/11/2022 16:21,-7.08,4/11/2022 3:39,5.28,65.92,4/11/2022 3:39,11.67,4/11/2022 15:59,33.55,16.1,176.2,40.11,13.45,4/11/2022 14:46,184.3,4.15,15.2,4/11/2022 12:46,324.9,358.5,307.8,991.5646,4/11/2022 11:46,26.59582,0.421,0,40931
4/13/2022 0:00,6,6.7,4/12/2022 12:30,-10.96,4/12/2022 23:45,-2.53,51.67,4/12/2022 23:45,11.69,4/12/2022 13:01,25.32,14.53,250.8,51.17,19.2,4/12/2022 13:01,258.9,6.354,19.2,4/12/2022 13:01,512,549,304.2,1077.415,4/12/2022 10:37,26.28221,0.408,0,40931
4/14/2022 0:00,7,14.6,4/13/2022 14:23,-9.38,4/13/2022 3:27,4.39,72.85,4/13/2022 7:30,7.573,4/13/2022 16:30,38.56,11.68,185.1,88.8,13.95,4/13/2022 14:57,297.8,3.157,15.7,4/13/2022 14:57,255.3,272.8,281.4,1308.784,4/13/2022 11:46,24.31396,0.253,0,40931
4/15/2022 0:00,8,14.06,4/14/2022 15:34,-3.67,4/14/2022 5:52,4.21,66.45,4/14/2022 5:34,8.08,4/14/2022 15:51,29.43,8.9,264.4,82.9,7.45,4/14/2022 11:43,205.1,1.301,7.95,4/14/2022 11:43,112.8,112.4,323.7,1093.951,4/14/2022 12:22,27.96819,0.25,0,40931
4/16/2022 0:00,9,16.75,4/15/2022 15:19,-4.48,4/15/2022 5:36,5.36,71.87,4/15/2022 4:59,6.908,4/15/2022 16:29,32.64,15.8,332.6,80,14.95,4/15/2022 17:20,75.53,3.004,14.7,4/15/2022 17:01,242.6,259.5,328.7,1018.058,4/15/2022 11:50,28.39938,0.36,0,40931
4/17/2022 0:00,10,18.98,4/16/2022 15:35,-3.4,4/16/2022 5:24,8.35,73.31,4/16/2022 5:26,25.9,4/16/2022 14:51,44.87,13.92,107.3,23.68,12.95,4/16/2022 12:21,132.2,4.808,13.95,4/16/2022 14:51,383,415.4,321.7,1003.474,4/16/2022 11:45,27.79779,0.423,0,40931
4/18/2022 0:00,11,18.55,4/17/2022 14:58,-5.16,4/17/2022 5:30,7.16,74.55,4/17/2022 5:35,8.25,4/17/2022 15:34,42.61,12.42,45.37,91.3,14.95,4/17/2022 16:21,57.81,2.571,15.2,4/17/2022 16:21,212.2,222.1,309,1069.109,4/17/2022 13:50,26.69477,0.518,0,40931
4/19/2022 0:00,12,27.57,4/18/2022 15:31,-1.21,4/18/2022 5:35,14.09,71.82,4/18/2022 2:16,25.94,4/18/2022 15:32,45.63,11.75,105.1,45.96,13.2,4/18/2022 16:07,159.1,4.536,13.7,4/18/2022 16:07,356.9,391.9,321,1003.889,4/18/2022 11:45,27.73249,0.548,0,40931
4/20/2022 0:00,13,24.06,4/19/2022 11:58,7.28,4/19/2022 5:44,15.13,79.08,4/19/2022 5:47,10.18,4/19/2022 11:42,35.5,12.8,238.8,50.26,10.45,4/19/2022 17:44,240.7,3.583,11.45,4/19/2022 17:44,285.1,309.6,286.4,1298.993,4/19/2022 12:14,24.74623,0.546,0,40931
4/21/2022 0:00,14,26.83,4/20/2022 16:06,6.03,4/20/2022 23:59,16.71,49.68,4/20/2022 23:58,15.38,4/20/2022 1:29,28.57,15.12,88.2,67.6,11.7,4/20/2022 5:10,15.65,4.901,11.7,4/20/2022 4:05,385.6,423.5,320,1012.806,4/20/2022 11:52,27.64501,0.571,0,40931
4/22/2022 0:00,15,32.17,4/21/2022 17:29,4.61,4/21/2022 5:38,17.62,72.27,4/21/2022 6:09,13.37,4/21/2022 17:37,41.14,14.98,128.3,50.65,10.2,4/21/2022 16:16,111.2,3.318,10.7,4/21/2022 9:07,259.1,286.7,314.2,1123.224,4/21/2022 12:05,27.1489,0.754,0,40931
4/23/2022 0:00,16,14.9,4/22/2022 13:37,6.74,4/22/2022 4:51,10.78,43.23,4/22/2022 4:49,5.853,4/22/2022 16:16,19.82,17.98,202,32.13,22.45,4/22/2022 14:43,192.3,8.88,24.2,4/22/2022 15:05,693.5,767.4,316.6,1036.119,4/22/2022 12:05,27.35368,0.425,0,40931
4/24/2022 0:00,17,13.55,4/23/2022 14:11,-0.19,4/23/2022 23:59,7.68,55.69,4/23/2022 23:50,8.44,4/23/2022 14:16,26.97,12.5,264.5,73.21,16.45,4/23/2022 2:28,230.8,5.239,17.45,4/23/2022 2:28,421.1,452.6,319.7,1311.734,4/23/2022 12:23,27.6212,0.412,0,40931
4/25/2022 0:00,18,14.87,4/24/2022 14:04,-5.02,4/24/2022 5:04,5.98,79.98,4/24/2022 21:33,19.86,4/24/2022 14:44,46.48,6.43,56.06,72.17,9.2,4/24/2022 11:35,54.03,2.606,9.45,4/24/2022 10:33,213.6,225.2,233,1459.36,4/24/2022 10:31,20.13326,0.507,0.03,40931
4/26/2022 0:00,19,24.36,4/25/2022 16:18,-3.9,4/25/2022 5:26,11.07,96.6,4/25/2022 5:43,39.16,4/25/2022 17:49,62.94,10.18,155.6,56.77,8.95,4/25/2022 22:51,92.1,2.884,8.95,4/25/2022 21:50,226.7,249.1,298,1284.658,4/25/2022 11:37,25.7498,0.632,0,40931
4/27/2022 0:00,20,24.9,4/26/2022 15:24,3.26,4/26/2022 5:14,13.88,71.01,4/26/2022 4:06,17,4/26/2022 14:39,38.92,13.33,194,28.91,10.7,4/26/2022 21:12,201,4.369,11.95,4/26/2022 21:07,338.8,377.5,309,1244.139,4/26/2022 11:56,26.69943,0.588,0,40931
4/28/2022 0:00,21,25.65,4/27/2022 12:19,3.86,4/27/2022 23:59,16.22,76.71,4/28/2022 0:00,23.48,4/27/2022 12:54,44.87,15.28,227.1,60.96,11.2,4/27/2022 12:42,236.2,2.474,11.95,4/27/2022 12:43,195.4,213.8,132.3,1173.627,4/27/2022 10:29,11.43253,0.772,0,40931
4/29/2022 0:00,22,17.87,4/28/2022 15:14,5.22,4/28/2022 5:09,11.29,87.4,4/28/2022 5:12,8.49,4/28/2022 16:30,45.83,18.58,185.4,72.29,6.95,4/28/2022 13:05,132.8,1.901,7.45,4/28/2022 14:41,151.2,164.2,329.1,1027.619,4/28/2022 12:02,28.43731,0.771,0,40931
4/30/2022 0:00,23,18.85,4/29/2022 12:43,2.38,4/29/2022 5:09,11.16,45.78,4/29/2022 5:09,5.292,4/29/2022 14:04,19.32,13.4,303.4,51.29,18.2,4/29/2022 13:46,294.5,6.315,18.95,4/29/2022 15:10,507.4,545.6,348,1064.652,4/29/2022 11:49,30.06592,0.351,0,40931
5/1/2022 0:00,24,18.96,4/30/2022 15:05,-1.61,4/30/2022 5:15,9.86,60.43,4/30/2022 5:16,13,4/30/2022 15:27,29.98,14.37,67.98,81.5,7.2,4/30/2022 2:09,311.5,2.413,7.45,4/30/2022 14:53,189.7,208.5,351.9,1048.216,4/30/2022 12:06,30.40834,0.404,0,40931
5/2/2022 0:00,25,6.16,5/1/2022 14:50,1.02,5/1/2022 4:58,3.84,73.11,5/1/2022 23:59,12.71,5/1/2022 18:32,44.26,7.32,103.5,41.97,14.45,5/1/2022 20:19,89.7,4.227,15.45,5/1/2022 20:16,326.5,365.2,323,1021.707,5/1/2022 11:47,27.91031,0.733,0,40931
5/3/2022 0:00,26,14.66,5/2/2022 11:27,0.28,5/2/2022 23:45,6.79,90.2,5/2/2022 4:21,38.24,5/2/2022 13:23,64.91,11.37,15.73,63.22,13.2,5/2/2022 11:29,11.26,4.55,13.45,5/2/2022 14:08,369.7,393.1,290.7,1412.395,5/2/2022 9:59,25.11655,0.78,0,40931
5/4/2022 0:00,27,11.32,5/3/2022 15:53,4.24,5/3/2022 1:20,7.19,89.8,5/3/2022 1:42,21.59,5/3/2022 16:44,57.27,7.55,110.1,35.48,14.7,5/3/2022 16:20,112.4,5.074,15.45,5/3/2022 17:06,394.6,438.4,293.8,1271.094,5/3/2022 11:40,25.38581,0.684,0,40931
5/5/2022 0:00,28,20.65,5/4/2022 13:28,3.05,5/4/2022 5:15,11.55,94,5/4/2022 17:57,49,5/4/2022 13:23,73.54,6.57,30.93,55.76,12.7,5/4/2022 16:58,307,3.62,12.7,5/4/2022 16:58,294.3,312.8,235.8,1565.721,5/4/2022 11:49,20.37606,0.882,0.54,40931
5/6/2022 0:00,29,28.11,5/5/2022 16:25,5.86,5/5/2022 2:51,16.96,96.4,5/5/2022 2:47,31.4,5/5/2022 16:17,71.08,6.12,276.1,74.81,7.95,5/5/2022 13:20,321.6,1.372,7.95,5/5/2022 13:21,111,118.5,308.3,1593.691,5/5/2022 11:23,26.63742,0.996,0.05,40931
5/7/2022 0:00,30,30.99,5/6/2022 13:50,7.45,5/6/2022 4:56,18.04,98.8,5/6/2022 3:50,12.98,5/6/2022 14:35,54.21,15.2,151.6,64.12,5.95,5/6/2022 16:00,137.2,1.466,6.2,5/6/2022 14:28,114.6,126.6,348.3,1177.169,5/6/2022 11:19,30.09702,0.905,0,40931
5/8/2022 0:00,31,25.24,5/7/2022 13:38,8.33,5/7/2022 4:38,15.6,85.5,5/7/2022 5:10,9.97,5/7/2022 13:34,39.13,14.37,248.7,69.64,13.45,5/7/2022 21:29,1.27,2.953,13.95,5/7/2022 21:31,234.3,255.1,301.1,1423.044,5/7/2022 12:18,26.01362,0.81,0,40931
5/9/2022 0:00,32,22.84,5/8/2022 16:31,5.25,5/8/2022 5:04,13.06,75.62,5/8/2022 5:59,9.22,5/8/2022 21:15,36.75,12.05,193,84.4,12.7,5/8/2022 14:43,145.8,3.533,13.7,5/8/2022 14:43,276.8,305.2,334.2,1050.644,5/8/2022 12:13,28.87359,0.756,0,40931
5/10/2022 0:00,33,23.82,5/9/2022 14:55,2.75,5/9/2022 23:56,12.96,24.34,5/9/2022 23:56,8.12,5/9/2022 16:57,13.73,11,247.2,22.73,16.95,5/9/2022 6:32,237.2,6.219,18.95,5/9/2022 6:32,486.2,537.3,340,1133.862,5/9/2022 12:45,29.37239,0.42,0,40931
5/11/2022 0:00,34,32.3,5/10/2022 16:44,5.11,5/10/2022 5:00,18.81,69.26,5/10/2022 22:35,13.82,5/10/2022 0:50,35.7,10.4,76.85,72.29,9.45,5/10/2022 16:26,100.1,2.66,9.7,5/10/2022 16:22,199.5,229.9,320.8,1052.632,5/10/2022 11:42,27.71325,0.667,0,40931
5/12/2022 0:00,35,22.91,5/11/2022 12:51,9.17,5/11/2022 0:08,15.28,62.34,5/11/2022 5:18,8.63,5/11/2022 15:57,28.89,14.08,192.3,18.76,14.2,5/11/2022 11:59,189.3,5.661,16.45,5/11/2022 11:59,425.1,489.1,305.8,1080.032,5/11/2022 10:54,26.42385,0.749,0,40931
5/13/2022 0:00,36,23.89,5/12/2022 13:13,3.26,5/12/2022 23:49,15.14,50.63,5/12/2022 3:39,4.509,5/12/2022 15:41,18.52,9.95,231.3,37.52,15.7,5/12/2022 13:50,271.5,5,16.45,5/12/2022 13:50,380.2,432,371.3,1307.701,5/12/2022 10:15,32.07843,0.447,0,40931
5/14/2022 0:00,37,26.26,5/13/2022 15:08,5.01,5/13/2022 5:23,17.45,62.27,5/13/2022 5:20,11.69,5/13/2022 15:12,29.97,7.7,131.3,55.3,9.45,5/13/2022 14:12,111.9,2.275,9.95,5/13/2022 14:12,166.5,196.6,352.5,1067.046,5/13/2022 11:53,30.45868,0.518,0,40931
5/15/2022 0:00,38,24.43,5/14/2022 14:46,9.48,5/14/2022 4:28,17.33,68.86,5/14/2022 3:25,8.24,5/14/2022 11:00,30.5,9.05,295.4,75.36,8.45,5/14/2022 14:39,234.5,1.579,8.45,5/14/2022 14:39,118.1,136.5,367.4,1061.01,5/14/2022 11:34,31.74056,0.547,0,40931
5/16/2022 0:00,39,30.01,5/15/2022 9:46,5.99,5/15/2022 4:35,18.6,74.17,5/15/2022 2:56,17.99,5/15/2022 11:20,39.36,8.83,71.13,76.9,11.2,5/15/2022 10:32,53.07,2.664,11.2,5/15/2022 10:32,200.5,230.2,357.5,1045.028,5/15/2022 11:55,30.8915,0.807,0,40931
5/17/2022 0:00,40,30.24,5/16/2022 14:26,8.8,5/16/2022 4:26,18.84,79.84,5/16/2022 4:51,15.91,5/16/2022 17:01,44.39,11.3,189.3,34.13,16.95,5/16/2022 17:01,231.6,3.895,18.7,5/16/2022 17:02,289.1,336.6,222.8,1150.043,5/16/2022 10:08,19.24924,0.999,0,40931
5/18/2022 0:00,41,28.93,5/17/2022 15:17,10.15,5/17/2022 5:04,20.11,69.16,5/17/2022 5:53,6.33,5/17/2022 13:14,33.5,8.08,308.3,77.1,15.2,5/17/2022 18:07,103.5,2.6,16.2,5/17/2022 18:07,202,224.7,366.6,1073.759,5/17/2022 12:02,31.67601,0.813,0,40931
5/19/2022 0:00,42,29.26,5/18/2022 13:34,4.41,5/18/2022 23:16,17.18,82.1,5/18/2022 23:33,14.21,5/18/2022 15:50,51.42,17,192.7,84.5,12.45,5/18/2022 15:42,239.3,2.495,13.2,5/18/2022 15:42,186,215.6,284.8,1177.776,5/18/2022 13:46,24.60501,1.107,0,40931
5/20/2022 0:00,43,6.53,5/19/2022 12:09,2.28,5/19/2022 4:23,4.12,88.4,5/19/2022 3:33,10.47,5/19/2022 19:10,41.2,11,252.2,48.9,16.2,5/19/2022 22:06,11.02,3.463,16.7,5/19/2022 22:06,267.6,299.2,263.7,1333.193,5/19/2022 10:56,22.78734,0.803,0,40931
5/21/2022 0:00,44,11.86,5/20/2022 12:35,0.01,5/20/2022 23:59,6.54,93.2,5/20/2022 23:55,35.19,5/20/2022 12:31,59.2,6.43,23.73,31.49,12.45,5/20/2022 16:22,24.3,4.073,12.95,5/20/2022 15:11,324.2,351.9,NAN,NAN,5/20/2022 11:30,NAN,0.639,0.09,40931
5/22/2022 0:00,45,16.42,5/21/2022 13:44,-0.32,5/21/2022 5:30,9.1,97.7,5/21/2022 6:38,54.09,5/21/2022 16:10,82.7,13.7,303.3,39.85,5.2,5/21/2022 10:33,333.8,1.904,5.95,5/21/2022 23:35,142.6,164.5,121.5,761.6201,5/21/2022 10:56,10.49345,0.688,0.2,40931
5/23/2022 0:00,46,17.03,5/22/2022 16:25,5.08,5/22/2022 2:45,10.26,92,5/22/2022 3:28,34.38,5/22/2022 17:46,66.22,11.08,157.6,51.67,9.45,5/22/2022 16:01,187.2,3.007,11.2,5/22/2022 16:01,219.5,259.8,200,1430.006,5/22/2022 13:11,17.27621,0.779,0,40931
5/24/2022 0:00,47,12.91,5/23/2022 13:14,2.85,5/23/2022 5:23,8.11,94.7,5/23/2022 23:57,34.94,5/23/2022 12:51,70.9,6.65,100.3,48.97,7.7,5/23/2022 7:52,133.5,2.84,9.2,5/23/2022 17:18,209,245.4,176.6,1109.056,5/23/2022 10:27,15.25798,0.925,0.13,40931
5/25/2022 0:00,48,23.86,5/24/2022 15:22,2.04,5/24/2022 23:55,13.76,97.6,5/24/2022 5:43,63.6,5/24/2022 16:04,88.8,10.78,41.28,43.83,5.7,5/24/2022 4:10,57.27,2.096,6.2,5/24/2022 4:10,159.2,181.1,106.8,972.0966,5/24/2022 15:12,9.228882,0.964,0.46,40931
5/26/2022 0:00,49,29.13,5/25/2022 15:50,3.9,5/25/2022 1:52,17.38,98.4,5/25/2022 2:23,22.04,5/25/2022 15:56,62.52,6.88,333,42.42,11.95,5/25/2022 12:40,56.05,3.026,12.45,5/25/2022 12:40,234.4,261.5,348.9,1284.789,5/25/2022 12:33,30.14915,0.827,0,40931
5/27/2022 0:00,50,32.71,5/26/2022 14:12,7.89,5/26/2022 4:58,20.84,96.2,5/26/2022 4:15,17.88,5/26/2022 13:46,54.01,11.08,210.6,68.84,5.2,5/26/2022 15:15,129.2,1.18,5.95,5/26/2022 15:15,86.8,102,358.1,1198.012,5/26/2022 12:17,30.93731,0.926,0,40931
5/28/2022 0:00,51,28.86,5/27/2022 14:36,9.51,5/27/2022 3:58,18.37,82.9,5/27/2022 4:31,10.19,5/27/2022 18:11,43.17,9.8,241.9,82.2,11.45,5/27/2022 18:09,28.54,1.699,12.95,5/27/2022 18:09,123.2,146.8,295.7,1180.811,5/27/2022 14:08,25.54872,0.965,0,40931
5/29/2022 0:00,52,24.87,5/28/2022 17:19,9.34,5/28/2022 5:07,14.85,84.2,5/28/2022 5:08,9.73,5/28/2022 18:01,37.47,17.9,241.3,44.84,11.2,5/28/2022 10:37,220.9,2.089,12.7,5/28/2022 10:41,154.2,180.5,240.5,1147.825,5/28/2022 11:57,20.77668,0.796,0,40931
5/30/2022 0:00,53,19.97,5/29/2022 15:10,6.8,5/29/2022 2:01,13.26,64.84,5/29/2022 4:33,10.53,5/29/2022 15:44,37.21,11,52.68,86.8,13.7,5/29/2022 19:57,282.5,2.59,14.7,5/29/2022 19:57,191.6,223.8,307.8,1229.784,5/29/2022 13:28,26.59572,0.856,0,40931
5/31/2022 0:00,54,17.43,5/30/2022 15:15,3.39,5/30/2022 4:20,10.02,81.6,5/30/2022 4:21,9.85,5/30/2022 17:58,33.05,9.35,295.8,59.06,12.95,5/30/2022 11:03,287.2,3.014,13.45,5/30/2022 11:03,227.6,260.4,366.6,1177.311,5/30/2022 13:43,31.67263,0.616,0,40931
6/1/2022 0:00,55,15.04,5/31/2022 16:05,6.43,5/31/2022 3:34,10.02,70.44,5/31/2022 23:58,22.46,5/31/2022 16:05,43.89,5.3,53.17,47.27,13.2,5/31/2022 20:34,8.65,3.385,12.95,5/31/2022 20:34,264.4,292.5,353.3,1375.883,5/31/2022 10:53,30.52172,0.806,0,40931
6/2/2022 0:00,56,21.76,6/1/2022 16:17,5.28,6/1/2022 5:59,14.12,97.1,6/1/2022 6:45,63.68,6/1/2022 15:59,83.7,6.57,39.06,62.44,11.45,6/1/2022 1:17,26.5,2.46,12.2,6/1/2022 0:38,194.6,212.5,119,775.7339,6/1/2022 15:12,10.2845,1.114,0.26,40931
6/3/2022 0:00,57,24.8,6/2/2022 14:21,9.58,6/2/2022 3:33,16.81,92.4,6/2/2022 3:32,39.43,6/2/2022 15:04,67.43,8.6,110.9,26.52,9.45,6/2/2022 11:31,130.7,3.389,10.45,6/2/2022 11:31,269.5,292.8,277.5,1575.684,6/2/2022 12:12,23.97518,1.19,0,40931
6/4/2022 0:00,58,29.64,6/3/2022 12:29,8.46,6/3/2022 3:35,19.22,94,6/3/2022 4:00,18.91,6/3/2022 17:18,65.19,9.58,109.7,77.95,14.45,6/3/2022 16:01,255.3,1.975,14.7,6/3/2022 16:01,160,170.7,209.7,1394.308,6/3/2022 11:45,18.11522,1.274,0,40931
6/5/2022 0:00,59,28.01,6/4/2022 13:56,13.79,6/4/2022 2:05,20.34,93.8,6/4/2022 2:50,7.01,6/4/2022 14:10,48.79,10.48,2.82,88,6.2,6/4/2022 20:58,23.12,1.949,6.95,6/4/2022 20:58,153.2,168.4,347.5,1057.772,6/4/2022 11:53,30.025,0.987,0,40931
6/6/2022 0:00,60,29.91,6/5/2022 14:38,11.23,6/5/2022 4:13,18.57,79.85,6/5/2022 23:52,17.78,6/5/2022 16:53,52.5,9.95,350.8,64.39,9.2,6/5/2022 18:27,80.7,1.846,10.2,6/5/2022 17:50,150,159.5,347.4,1146.409,6/5/2022 12:56,30.01168,1.287,0,40931
6/7/2022 0:00,61,27.74,6/6/2022 13:41,11.7,6/6/2022 4:13,17.86,95.1,6/6/2022 4:16,23.88,6/6/2022 14:06,67.37,13.17,75.69,64.42,16.95,6/6/2022 15:02,166.9,2.789,19.2,6/6/2022 15:02,221.6,241,313.2,1246.985,6/6/2022 13:58,27.05872,1.605,0.13,40931
6/8/2022 0:00,62,25.82,6/7/2022 14:16,8.39,6/7/2022 4:19,17.94,89.4,6/7/2022 5:34,27.02,6/7/2022 13:57,63.82,9.35,124.2,55.52,12.2,6/7/2022 18:36,90.6,3.598,13.2,6/7/2022 16:55,286,310.9,312.9,1066.676,6/7/2022 14:23,27.03077,1.57,0,40931
6/9/2022 0:00,63,32.27,6/8/2022 14:24,12.1,6/8/2022 5:15,21.09,91.9,6/8/2022 2:04,23.86,6/8/2022 13:18,54.91,7.7,72.48,55.4,10.45,6/8/2022 16:37,112.9,3.887,10.95,6/8/2022 17:33,308.9,335.8,353.4,1035.655,6/8/2022 12:10,30.5345,1.228,0.01,40931
6/10/2022 0:00,64,33.25,6/9/2022 17:04,10.29,6/9/2022 4:36,22.28,85.1,6/9/2022 2:58,22.82,6/9/2022 15:40,53.37,6.28,186.5,73.43,6.45,6/9/2022 17:28,162.1,1.916,7.2,6/9/2022 17:26,152.1,165.5,258,1296.565,6/9/2022 12:35,22.28842,1.353,0,40931
6/11/2022 0:00,65,37.26,6/10/2022 15:18,14.5,6/10/2022 2:17,26.42,87.2,6/10/2022 2:19,24.74,6/10/2022 15:26,54.07,8.75,63.91,75.97,8.2,6/10/2022 15:06,110.8,2.245,8.2,6/10/2022 15:06,174.7,194,347.2,1101.078,6/10/2022 11:43,29.99975,1.53,0,40931
